dept4dig,course#,name,instructor,xlisted_w,ORCdescription,prereqs,Alldistribs,coreqs
THEA,19,Human Rights and Performance,,,"What can theatre do for human rights, and human rights for theatre? How do playwrights translate violations of human rights to the stage? Through class discussion and creative exercises, we will explore selected plays from around the world that address human rights through various genres and dramatic forms, including theatre of testimony, documentary theatre, realism, allegory, and surrealism. Open to all classes.",,INT or ART,
THEA,21,"Race, Gender, and Performance",Edmondson,WGSS 59.04,"Students will explore the perspectives of contemporary Latina/o, Asian American, Black, and Native American theater artists/performers. Our examination will also consider the socio-historical and political contexts engaged through these artists' works. We will also consider the relationship between the construction of identity and strategies of performance used by playwrights/performers to describe race, gender, sexuality, class, subjectivity, and ideas of belonging. Texts examined will include works by Moraga, Highway, Wilson, Parks, Gotanda, and Cho.",,ART; WCult:CI,
THEA,22,"Black Theater, U.S.A.",Ndounou,AAAS 31,"This course will examine African American playwrights, drama, and theater from 1959 to the present. Further exploration will focus on the impact of civil rights, the Black Arts movement, and cultural aesthetics on the form, style, and content of African American plays. Readings will include plays of Hansberry, Baldwin, Baraka, Kennedy, Childress, Shange, Wolfe, Wilson, Parks and others. Open to all classes.",,ART; WCult:CI,
THEA,23,Postcolonial African Drama,Edmondson,AAAS 54,"This course explores selected theatre and performance traditions of sub-Saharan Africa. How do African playwrights negotiate and transform the colonial legacy of Western drama, and how do they use theater to challenge neocolonial regimes and to advance ideas of democracy, human rights, and gender equality? Plays from Nigeria, South Africa, Kenya, and Uganda receive special emphasis. No prior knowledge of African studies or theater is necessary, just a willingness to expand critical and creative horizons.",,ART; WCult:NW,
THEA,24,Asian Performance Traditions,Chin,ASCL 70.07,"This course studies the performance traditions of Asia, focusing on China, Japan, Indonesia and India. Classical forms studied include Noh, Bunraku, Beijing opera, Sanskrit drama, Balinese dance and Javanese puppet theater. Attention is paid to social, religious and aesthetic influences on these traditions, theories on which they are based, the history behind the theatrical practices, and training and dramatic techniques. Students gain an appreciation of the rich variety and scope of theatrical conventions of Asia.",,ART; WCult:NW,
THEA,25,Solo Performance,Santana,LACS 24.70,"This course will introduce and engage the history, texts, topics, theoretical guideposts, and landmark figures/performances central to the genre of solo performance. Working between critical examination and practice, participants will analyze the form and content of leading solo performers while also composing a series of short exercises that activate solo performance strategies and methods. The course will culminate in the creation of a participant's self-authored, short solo performance piece.",,ART,
THEA,26,Movement Fundamentals I,Coughlin,,"An introduction to movement for the stage, this course will animate the interplay between anatomy, movement theories and performance. Through exploration of physical techniques, improvisation and movement composition, students will experience a fundamental approach to using the body as a responsive and expressive instrument. Assignments will include readings, written work, class presentations, mid-term exam and final paper.",,ART,
THEA,27,Movement Fundamentals II,Coughlin,,"A continuation of THEA 26, this class will explore further the relationship between efficient and expressive movement and body connectivity. Contact improvisation, conditioning, kinesiology and movement repertoire form the foundation from which the class will explore individual performance. Assignments include readings, written work, class presentations and a final paper.",THEA 26; equivalent experience may be considered. Contact instructor for details.,ART,
THEA,28,Dance Composition,Heginbotham & Stenn,,"An in-depth study of the principles of dance composition leading to choreographic projects. Students will receive training in both dance composition and criticism, developing the requisite tools for choreography while acquiring the vocabulary for sophisticated choreographic analysis. Reading and writing assignments on contemporary issues in dance will be the departure for students' theoretical and creative exploration. To this end the class will concentrate on individual student choreography. Students' class work will be performed in an informal showing at the conclusion of the term. Open to all classes.",,ART,
THEA,29,Dance Theater Performance,Heginbotham & Stenn,,"Students will examine movement theories and techniques, utilizing these elements to create physical language while developing enhanced ensemble skills. Emphasis will be placed on the creation of a dance theater ensemble piece, which culminates the term in a final performance. The creative process, collaboration, and individual performance are key components of the experience. Readings in Dance Studies and critical reviews of performances are included to contextualize the course’s creative work. Open to all classes.",,ART,
THEA,30,Acting I,"21F: Rice, Kohn; 22W: Kohn, Hackett, TBD; 22S: Hackett",,This course is open to all students. No theater experience is necessary.,,ART,
THEA,31,Acting II,Rice & Coughlin,,"Acting II is an advanced scene study class that focuses on developing a process for performing non-realistic, “heightened” acting texts.  Students will encounter plays that present unique challenges for actors in terms of language, physicality, characterization, style, content and text analysis.  The class will structurally fuse the traditionally separate disciplines of acting, voice, and movement into a comprehensive unit by approaching the text simultaneously from these three perspectives. The work will proceed from the assumption that the actor’s performance must emerge from an expressively free and integrated instrument. ",THEA 30.,ART,
THEA,35,Acting for Musical Theater,Dunne,,"This course will introduce students to the techniques used by actors/singers to play musical theater scenes believably, honestly and dynamically. Basic acting techniques will be taught as well as work in singing, text analysis, movement and speech. Students will begin with individual songs, then prepare, rehearse and present two-person musical scenes from Company, The Color Purple, West Side Story, Side Show, Into the Woods, Hamilton, Passion, In the Heights, She Loves Me, Follies, and others. ",THEA 30 and permission of the instructor; contact instructor for details.,ART,
THEA,36,The Speaking Voice for the Stage,Rice,,"This course is an examination of the principles and practice of freeing the natural voice. It proceeds from the notion that ""voice"" and ""acting"" are inseparable. Although it is an introduction to the use of voice in the theater, it is in no way limited to the actor. A specific progression of exercises will be presented to facilitate freeing the body of tensions, discovering the natural breath, releasing vibrations of sound from the body, and opening the channel for sound (throat, jaw, tongue). Resonance, vocal freedom, and articulation will also be explored. Techniques for accessing emotional and psychological truth will be practiced as fundamental to the actor's creative process. A groundwork will be laid for physical and vocal presence. Each student will be responsible for the development and practice of a vocal warm-up. A variety of speaking assignments will be made to develop confidence, presence, and emotional expressivity. Text materials utilized will emerge from self-scripted autobiographical storytelling. A strong commitment to the work is necessary to explore what it means to find one's voice. Open to all classes.",,ART,
THEA,40,Technical Production,Merwin & Parry,,"An introduction to the technical aspects of live theater, exploring both traditional and modern approaches. Topics include the stage and its equipment, materials and construction of scenic and property items, lighting, sound, rigging, design, stage management, and more. This course includes both lectures and hands-on learning. Open to all students and classes.",,ART,
THEA,41,Stage Management,Cunneen,,"An introductory course in the theories, techniques, and practices of stage managing a production from its initial stages to the conclusion of the run. Plays, musicals, opera, dance, and touring productions will be examined from the perspective of the stage manager. Working with directors, choreographers, and other members of the production team will be discussed as well as calling shows. Students will acquire practical experience through assignments on Department of Theater productions. Open to all classes.",,ART,
THEA,42,Scene Design I,Ganio,,"An introduction to the basics of scenic design through weekly projects in scale models, drawings, research, lighting and storyboards. Students will also study the collaborative process among scene designers, directors, costume and lighting designers. Suitable for students interested in theater, visual and video art, installation, film, architecture, and sculpture. Students will have the opportunity to assist student and faculty scene designers on Department of Theater productions. Open to all classes.",,ART,
THEA,44,Lighting Design,Kotlowitz,,"An introduction to the practical and artistic elements of theatrical lighting design. The course will include topics in color theory, form, movement, composition, and the creative process. Through analyzing the script and studying light in nature, film, and art, students will prepare projects that explore the possibilities of light in the theater. Students will have the opportunity to work on Department of Theater productions with faculty and student lighting designers. Lectures, discussions, design projects, and critiques. Open to all classes.",,ART,
THEA,48,Costume Design,Churba,,"An introductory course in the appreciation of the costume design process as part of the dramatic production. Through weekly projects, students will study the principles of line, texture, and color as well as the history of costume from the Renaissance through the eighteenth century. Lectures, design projects, and critiques. Open to all classes.",,ART; WCult:W,
THEA,50,Playwriting I,Padilla,,"The aim of this course is for each student to write the best one-act play he or she is capable of writing. It is open to students both with a theater background and those without. This course will involve a number of preliminary exercises, the preparation of a scenario, the development of the material through individual conferences, and finally the reading and discussion of the student's work in seminar sessions. Open to all classes. Limited enrollment.",,ART,
THEA,51,Playwriting II,Padilla,,Permission of the instructor is required.,THEA 50,ART,
THEA,54,Directing,Hackett,,,THEA 30 or equivalent experience.,ART,
THEA,60,Classical Performance I,LAMDA faculty,,"This course is taught by the LAMDA faculty. THEA 60 is an intensive course in classical theater training focused on acting (including improvisation), movement (including movement theater, clown and historic dance), and voice (including singing). Texts include Shakespeare and either Jacobean or Restoration plays. This typical British conservatoire experience is designed for students interested in acting, directing, playwriting, design, stage management, dramaturgy or criticism. Offered only as a part of the Theater Foreign Study Program in London. This course is graded as credit/no credit.","One theater history course is required: either THEA 15, 16, or 17. In addition, one theater practice course is required: either THEA 10 (with Chair's approval), 25, 26, 27, 28, 29, 30, 35, 36, 40, 41, 42, 44, 48, or 50.",ART,
THEA,61,Classical Performance II,LAMDA faculty,,A continuation of Classical Performance I. This course is graded credit/no credit.,"One theater history course is required: either THEA 15, 16, or 17. In addition, one theater practice course is required: either THEA 10 (with Chair's approval), 25, 26, 27, 28, 29, 30, 35, 36, 40, 41, 42, 44, 48, or 50.",ART,
THEA,62,Plays in Performance-Perception and Analysis,,,"Offered only as a part of the Theater Foreign Study Program in London, this seminar integrates the study of theater with the experience of plays in performance. By providing intense, comparative experience of playgoing, the course intends to broaden students' knowledge of the dramatic repertoire, to heighten their awareness of production approaches and values, and to encourage them to develop considered critical response to theater. Students attend a number of required performances and in addition attend performances of their own choosing - normally a total of three plays per week. Productions will represent a variety of periods and styles of playwriting, and a similarly diverse range of production companies and approaches to performance. Weekly seminar meetings will focus on critical responses to plays and productions, with background provided by guests from the professional theater (directors, writers, performers, designers, critics). Students will maintain journals and provide brief written critiques.","One theater history course is required: either THEA 15, 16, or 17. In addition, one theater practice course is required: either THEA 10 (with Chair's approval), 25, 26, 27, 28, 29, 30, 35, 36, 40, 41, 42, 44, 48, or 50.",ART; WCult:W,
THEA,65,Summer Theater Lab,21X: Horton; 22X: TBD,,"This experiential class is designed to explore the development of new work for the theater. Students will participate actively in three exciting aspects of our summer production season: 1) VoxLab, a one-week festival of new projects initiated by Dartmouth alumni, 2) the Frost and Dodd Student Play Festival, and 3) the New York Theatre Workshop’s annual summer residency. ",,ART,
THEA,80,Independent Study,The Faculty/Kotlowitz,,"This course is designed to enable qualified upperclass students, who have completed the appropriate supporting coursework, to engage in independent study in theater under the direction of a member of the department. A student should consult with the faculty member with whom he or she wishes to work as far in advance as possible, and not later than the term immediately preceding the term in which the independent study is to be pursued. A written proposal and the approval of the faculty member and of the Chair are required.",Course admission is determined by a proposal process; contact the Chair or visit the dept website for details.,,
THEA,90,Contemporary Theater Practice,Churba,,"This course seeks to explore the contemporary world of theater. Through contemporary play readings and collaboration projects that revolve around scene work and devised theater, students develop an appreciation for the breadth of new work being developed and produced in the field. Course materials include articles on experimental theater companies and their current practices; contemporary plays; and live performances. This course is mandatory for senior theater majors.",Open to Theater majors and modified majors only.,ART,
THEA,91,The Honors Thesis I,The Faculty/Kotlowitz,,"An Honors project, which normally encompasses two terms, must include a thesis or thesis project. This course must be elected by all honors candidates. For acceptance into this course, please see the section in the ORC on the Theater Honors Program. Students are awarded one course credit for successful completion of this course, and receive a grade for the course at the end of the term. Students then subsequently register for THEA 92 in order to continue with their Honors Program study in a second term. ","For details on the Honors Thesis acceptance process, please see the section in the ORC on the Theater Honors Program and/or visit the Department of Theater website.",,
THEA,92,The Honors Thesis II,The Faculty/Kotlowitz,,"An Honors project, which normally encompasses two terms, must include a thesis or thesis project. This course must be elected by all honors candidates. For acceptance into this course, please see the section in the ORC on the Theater Honors Program. Students are awarded one course credit for successful completion of this course. Students enrolling in this course have already completed one term of Honors Program study, and are registering for this course in order to continue their Honors Program work in a second term.",,ART,
TUCK,1,Financial Accounting,Jordan M. Schoenfeld,,"The purpose of this course is to introduce students to the principles of financial accounting and to teach students to be critical users of financial statements. The course is divided into two parts. The first part introduces students to the concepts and measurements underlying financial statements. The second part focuses on analyzing financial statements and understanding the choices firms make in reporting financial results. Students will be exposed to the decisions firms make relating to their operating, capital investment, and financing activities and how managers use discretion to affect reported financial results. Priority given to seniors, juniors, and then sophomores.",,,
TUCK,2,Principles of Marketing,Lauren S. Grewal,,"Marketing deals with identifying and meeting human and social needs and is an organization function with a set of processes for creating, communicating, and delivering value to customers in ways that benefit the organization (for profit, not for profit, and public sector) and its stakeholders. The overall objective of this course is to introduce students to the substantive and procedural aspects of marketing strategy and implementation and to sharpen their skills for critical analytical thinking and effective communication. The course will involve case discussions and a group project. Priority given to seniors, juniors, and then sophomores; first-year students are not eligible.",,,
TUCK,3,Business Management and Strategy,Christian Stadler,,"This course is intended to introduce students to the strategic management of business ventures. Topics will include theories governing the choice of business activities, market positions, technological responses, and social commitments. Throughout the course, we will attempt to differentiate between policy advice based on evidence from that based on speculation. Priority given to seniors then juniors. Sophomores and first-year students are not eligible.",,,
,,Associated Courses,,,,,,
WGSS,7,"First-Year Seminar in Women's, Gender, and Sexuality Studies",,,,,,
WGSS,10,"Sex, Gender, and Society","21F: A’Ness, De Berry, Monson, Sawada; 22W: Sargent",,"How has current thinking about sex, gender, and sexuality formed our experiences and understandings of ourselves, the world we inhabit, and the world we envision? This course investigates basic concepts about sex, gender, and sexuality and considers how these categories intersect with issues of race, class, ethnicity, family, religion, age, and/or national identity. The course also considers the effects of sex, gender, and sexuality on participation in the work force and politics, on language, and on artistic expression. In addition to reading a range of foundational feminist texts, materials for analysis may be drawn from novels, films, the news, popular culture, and archival resources. Open to all students. ",,SOC; WCult:CI,
WGSS,15,Roots of Feminisms: Texts and Contexts,22W: Martín,,"This course will examine pre-twentieth century texts and historical events that set important precedents for the development of contemporary feminist theories and practices. We will survey some of the writings that consolidate legitimated patriarchal/misogynist ideologies in Western worlds (e.g. Plato, Aristotle, the fathers of the Church, the philosophers of the eighteenth-century Enlightenment, Rousseau). We will analyze different ways in which women historically have articulated strategies of contestation and/or resistance to systems of power based on gender differentiation. Readings may include works by French medieval thinker Christine de Pizan; sixteenth-century Spanish cross-dresser Catalina de Erauso; seventeenth-century Mexican intellectual and nun Sor Juana Ines de la Cruz; Mary Wollstonecraft; Maria Stewart, the first African-American political woman writer; the nineteenth-century American suffragists; and anarchist leader Emma Goldman. Open to all students.",,SOC; WCult:CI,
WGSS,16,Contemporary Issues in Feminism: Theory and Practice,21F: Huang; 22S: Sawada,,"How do feminist, queer, and racialized minoritarian subjects move through and produce knowledge about inhospitable worlds, often against the limits of what is sayable, knowable, and thinkable? What makes a reading practice, text, or act feminist or queer? What makes critical knowledge critical? These questions will guide this seminar on feminist ways of knowing. Together we will explore the politics of knowledge and roles of theory in knowing and transforming the world.  ",,SOC; WCult:CI,
WGSS,18,"Introduction to Lesbian, Gay, Bisexual, and Transgender Studies",21F: Monson,,"This course will examine the ways in which ""deviant"" sexual and gender behavior and identities, and the political movements that emerge from them, have been conceptualized in U.S. culture. We will cover basic lesbian/gay/bisexual/transgender cultural and political history and the interplay between sexuality, gender, race, class, ethnicity, and economics. Students will be expected to work with primary documents (including novels and film), recent work in queer theory, and historical analysis. Open to all students.",,SOC; WCult: CI,
WGSS,20.02,"#MeToo: Intersectionality, Hashtag Activism, and Our Lives",,,"The #MeToo movement is a response to gender-based harassment, assault, and violence. It is a form of resistance. This course examines and critiques the #MeToo movement. It covers the movement’s founding in 2006 by civil rights activist Tarana Burke; the benefits and limitations of intersectionality theory and approaches; feminist legal and critical race theories about sexual harassment and gender based violence; and competing analyses of contemporary #MeToo activism, particularly its spotlight on the wealthy and famous. The course includes elements of collaborative syllabus building, campus outreach activities, group project work, research into histories of resistance at Dartmouth (using College archives), and peer review of students’ written work. Throughout the term, we will draw connections among scholarship, current events, and our lives.",,SOC; WCult:CI,
WGSS,20.03,"Introduction to the Study of Race, Migration, and Sexuality",21F: Lim,,"This course aims to deepen our understanding and appreciation of the ways in which race, migration and sexuality have shaped U.S. culture, social and legal thought, cultural institutions and art practice from the colonial era to the present. Race, migration, and sexuality are experienced differentially across all groups and individuals. They also have distinctive transnational and diasporic histories and practices. This course will focus on the various groups that have comprised the United States in a comparative and decolonial study aligned with the intersectional approach advocated by black feminists. Students will learn about issues of race, migration, and sexuality across time and space, as critical dimensions of the nation’s political and economic structures, within different ethnocultural traditions, and in aesthetic, performance practices. The central object is to weave diverse historical and cultural traditions into a larger synthesis of the meaning of race, migration and sexuality in North American life that is deftly attuned to power in all of its guises and establishmentarian logics.",,INT or SOC; WCult:NW,
WGSS,21.01,"Slaves, Wives, & Concubines: Did Roman Women Have a History?",Stewart,"CLST 11.12, HIST 94.13","This course is about the heterogeneous lived experience of women (slaves, freed slaves, lawful wives, daughters, prostitutes) during the Roman Republic and Empire. Roman women built and immortalized themselves and their families in funerary and civic monuments, endowing institutions like schools, and sometimes had coins bearing their portraits. We explore the larger institutional frameworks that gave meaning to their lives, and within this framework we investigate theri live choices over time.",,SOC; WCult:CI,
WGSS,22.01,Gender and European Society from Antiquity to the Reformation,Simons,HIST 042,"This course examines the roles of women and men in Western Europe from late Antiquity to the Reformation period. Emphasis will be placed on the intellectual and social strictures that had a long-term effect on the concept and role of gender in European society. Topics included are biological and mythological foundations of gender concepts; attitudes toward the body and sex in pre-Christian and Christian culture; sin and ecclesiastical legislation on sex and marriage; family life and education; the individual and kinship; heresy and charismatic religious movements; and the impact of social-economic development on gender in professional life. We will discuss the textual and visual sources for our inquiry, as well as the changing contemporary views on gender roles in pre-industrial Europe. Open to sophomores, juniors and seniors.",,TMV; WCult:CI,
WGSS,23.01,Gender and Power in American History,,HIST 27,"This course examines the history of men and women from the period of colonial settlement to the achievement of woman’s suffrage. We will explore the construction of gender particularly as it relates to social, political, economic, and cultural power. Topics will include: the role of gender in political thought and practice; the intersection of gender with categories of class and race; gender in the debate over slavery and the Civil War; and the rise and evolution of the woman’s rights movement. Open to sophomores, juniors and seniors.",,SOC; WCult:W,
WGSS,23.02,American Women in the Twentieth Century,22S: Orleck ,,"This course is a multi-cultural multi-media history of American women from the Civil War to the present. We will discuss race and class tensions in the woman suffrage movement; women, labor, and radicalism from the 1910s through the 1940s; civil rights, welfare rights, the rebirth of feminism in the 1960s and 70s; and backlash politics from the 1950s to the 1980s.",,SOC; WCult:CI,
WGSS,24.01,Arab Feminisms,22S: Morsi,MES 19.03,"This course is an introduction to the history of feminism in the Arab world from the 19th century to the present. It examines some of the most important socioeconomic and political issues as well as aesthetic trends that were or continue to be central to feminist activism and cultural production in the region. Throughout the term students will engage with a wide range of primary sources (newspaper articles and op-eds, memoirs, novels, poems, photographs and films) that will help them develop a nuanced and critical understanding of the diverse and dynamic experiences of women in the Arab world.",,INT or LIT; WCult:NW,
WGSS,24.02,Gender and The Modern Middle East and North Africa,Nikpour,,"In this course, we will study histories of the modern Middle East and North Africa and examine the ways that issues relating to gender and sexuality have affected the politics and social worlds of the region over the course of the past several centuries. This course begins with the medieval Islamicate Empires — Mughal, Safavid, and Ottoman — and then moves through the end of empire, the colonial era, the establishment of the nation state, and the emergence of modern cultural, political, and religious movements. In doing so, we will situate the histories and social worlds of the region in a global frame, asking how global political and economic transformations have affected the region. At the same time that we attend closely to these histories, we will also examine the ways in which the category of “woman” has been mobilized in popular and political discourses in the 18th-21th centuries, paying particular attention to how Muslim and Middle Eastern women have been represented in various political discourses, as well as how they have represented themselves. Through close readings of both primary sources (in translation) and secondary literature — including historiographical, theoretical, and literary texts as well as film and music— we will also tackle the questions, controversies, and stereotypes that have animated debates in both scholarly and popular literature on such topics as the veil, feminism, revolution, human rights, LGBT issues, masculinity, and war.",,SOC; WCult:NW,
WGSS,26.02,Women and American Radicalism Left and Right,21X: Orleck,HIST 29,"This course will trace the involvement of U.S. women in radical political movements from the mid-nineteenth century to the present including: Abolitionism; Anti-lynching; Socialist Trade Unionism; the Ku Klux Klan; the Communist Party; the National Welfare Rights Organization; the Civil Rights Movement; the New Left; the New Right; the direct-action wing of the anti-abortion movement; Earth First; and the neo-Nazi American Front. It will also examine the relationship between feminist ideologies and non-gender-specific radical political ideologies centered on race, class, and other social identifiers.",,SOC; WCult:CI,
WGSS,26.03,History of Sexuality,21X: Moreton,HIST 08.04,"How have historical processes produced distinct sexual practices and identities over time? This course engages 300 years of a history that often evaded the historical record or was deliberately purged from it and asks how more traditional topics of U.S. historical inquiry—immigration, citizenship, economic organization, intellectual and artistic production, racialization, formal politics, law, religious practice—can yield new insights when sexual history is included as a legitimate dimension of analysis.",,SOC; WCult:W,
WGSS,30.01,"Women, Gender and Development",Parikh,GEOG 026,"This course examines gender as it relates to both women and men and as constituted by multiple factors such as place, space, class, sexuality, age, race, ethnicity, nationality, and culture-what some call categories of ""difference."" We will explore how these categories of difference shape women's and men's daily lives, our institutions, the spaces and places we live in, and the relationships between social groups in different places and between different places in the world.",,SOC; WCult:CI,
WGSS,30.04,"Women, Work, and Wealth",Moreton,,"It is one of the most famous sentences in the English-language canon, a short-hand for the entire foundation of modern economics: “It is not from the benevolence of the butcher, the brewer, or the baker, that we expect our dinner,” wrote Adam Smith in his 1776 The Wealth of Nations, “but from their regard for their own interest.” But of course none of those men actually served the lifelong bachelor his dinner: his mother did, and whether she did so from benevolence, self-interest, or some less easily classified motivation, the field of political economy was defined by her exclusion from its questions and answers. This course interrogates the sexual and racial contracts at the heart of modern economic relations, and asks how returning mothers, wives, daughters, and servants to the history of capitalism alters our assumptions about economic man. ",,SOC; WCult:CI,
WGSS,30.05,Maid in America: The Politics of Domestic Labor,A'Ness,LACS 036,"In Maid in America we study the representation, history, and rights of domestic workers in the Americas with a focus on the United States, Brazil, Mexico, Chile, and Argentina. Specifically, we look at representation and rights from artistic, legal, and sociological perspectives. Using the the theoretical frames of intersectional and transnational feminism we will analyze primary texts that include essays, manifestos, theater, and documentary film. Topics we will explore will include media representation and controlling images, migrant imaginaries, invisible labors, modern-day slavery, the feminization of migrant work, and labor organization and rights. The class will include a theater workshop component that will culminate in the public presentation of an original group performance titled: Making the Invisible Visible: The Politics of Domestic Labor.",,ART; WCult:CI,
WGSS,30.06,Women and Poverty in the United States,,,"This course will encourage students to understand the connection between women and poverty in the United States:  (why) are women more likely to be poor than men?  The course will explain this connection between women and poverty by looking at gendered and raced wage gaps; women’s paid and unpaid work within capitalism; the cost of identifying women with caretaking work; stereotypes of poor women; American public policy targeted at (certain) women; and the intersection of (environmental) racism, sexism, and classism.",,SOC; WCult:CI,
WGSS,31.01,Sex and the State in Latin America,Baldez,GOVT 49.04 LACS 52,"This course examines women’s movements in Latin America. Women in Latin America are perhaps the most highly mobilized population in the world. Throughout the region women have organized around myriad issues, including the right to vote, human rights, poverty, legal rights, anticommunism, the workplace, race, ethnicity and war. Women’s efforts to challenge fiercely repressive regimes, deeply entrenched norms of machismo and extreme poverty defy conventional stereotypes about women and provide us with inspiring examples of how to sustain hope during difficult times. The seminar will introduce students to recent scholarship on women’s movements in Latin America in the 20th century and seek to understand the emergence, evolution and outcomes of women’s movements in particular countries and cross-nationally.",,SOC; WCult:NW,
WGSS,31.04,Women and Politics,21F: Brooks; 22S: Brooks,GOVT 20.01,"This is a general course on women in politics. We will examine the role of women as politicians, activists, and voters. The course will examine a wide range of issue areas, including: female attitudes on war and conflict, the reactions of women to different kinds of campaign tactics and policy positions, the differing barriers women face to attaining elected office in different countries, and how the challenges thought to be faced by female political leaders compare with those faced by female business leaders. One key question we will explore concerns whether female politicians are treated differently than male politicians, and how that might affect their strategies for reelection and governance. Open to all students. ",,SOC; WCult:CI,
WGSS,32.03,The Constitutional Rights of Women,Sargent,,"This course combines the study of U.S. Supreme Court cases that directly affected (and continue to affect) women’s rights with the examination of women’s narratives about their experiences in society before, during and after those landmark decisions. We will weave the stories of women of various races, religions, sexual identities and employment histories, many of whom were unwitting or unexpected plaintiffs in landmark Supreme Court cases, with the Court’s reasoning and intentions in those opinions. We will also examine the evolution and contributions of the female justices of the U.S. Supreme Court and observe how their experiential rhetoric informs the Court’s opinions.",,TMV; WCult:CI,
WGSS,33.01,Constructing Black Womanhood,King,"AAAS 25, SOCY 46","This course is a critical examination of the historical and contemporary status of black women in the United States, as presented in fiction, primary accounts, and social science literature. We will explore the nature, extent, and consequences of the multiple discriminations of race, sex, and class, as the context in which these women shaped their social roles and identities within the black community and the larger society. We will consider the themes of family, motherhood, and sexuality; educational, economic and political participation; aesthetics and religious traditions; and self and social images. Open to juniors and seniors. ",,SOC; WCult:CI,
WGSS,33.03,Gender and Judaism,22S: Greenblatt,JWST 053 REL 19.22,"Examining the intersections between gender, religious practice, cultural identity, and personal belief, this class will draw upon contemporary gender theory, religious texts and contemporary interpretations of Jewish thought and culture to examine the construction of Jewish identity through a feminist lens.  Authors will include Alder, Boyarin, Heschel, Gilman, Peskowitz, Levitt and Biale.  The class will also investigate questions of race, ethnicity, assimilation and Jewish gender issues in popular culture, including films and the work of performers Cantor, Benny, Berg, Midler, and Sandler.",,TMV; WCult:CI,
WGSS,33.05,Unstalling the Stalled Revolution: Gender (In)equality at Work and at Home,21F: Smith,QSS 30.17 SOCY 061,"The nature of work, family life, and gender relations has changed dramatically over the last half century. This course examines these trends, with a focus on implications for gender inequality in society. We will focus on patterns in paid labor force participation and family life in the United States, and discuss the major debates surrounding the causes and consequences of such trends. We will also pay attention to how these patterns look across different races, ethnic groups, and socioeconomic status, as well as briefly examine how these trends compare to other countries. We will conclude by exploring the implication of gender inequality for families, as well as work-family policy debates. ",,SOC; WCult:W,
WGSS,33.07,"Love, Romance, Intimacy and Dating",Lively,SOCY 62,"Why do you connect with some people and not others? What exactly is love? And how do you make smart romantic choices for yourself? In this course we examine the social aspects of love, romance, intimacy, and dating. Using sociological theories and methods, we will investigate how cultural beliefs and structural arrangements affect our most intimate feelings and experiences. Specific topics include virginity loss, adolescent sexual behavior, hooking up, dating, intimacy and polyamory.",,SOC,
WGSS,34.02,Gender Identities and Politics in Africa,Coly,AAAS 040,"This interdisciplinary course explores the constructions of gender identities in different African socio-cultural contexts. The emphasis is on contemporary Africa, although we will discuss some of the historical framework of these identities. We will read historical accounts of gender in some pre-colonial African societies, investigate the impact of colonialism, and examine gender in some anti-colonial movements. We will also analyze gender in urban and rural contexts, and address such questions as homosexuality and gay rights.",,INT; WCult:CI,
WGSS,34.04,Sociology of Gender,McCabe,SOCY 56,"What is gender? This seminar examines multiple sociological perspectives on what it means to be a woman, man, boy, or girl in everyday life - including gender as a social structure, an identity, an ideology, and something people ""do."" Readings and discussions reflect a belief that diversity (race/ethnicity, class, age, sexuality, etc.) is central to the study of gender. Possible topics include: language, the body, science, the wage gap, education, and masculinity during young adulthood. ",,SOC,
WGSS,36.01,Gender in Cross-Cultural Perspective,Billings,ANTH 31,"Sex (biological differences between men and women) and gender (social constructions of those differences) are not straightforward or natural, and it naturally follows that gender inequalities and gender oppression are also not straightforward and natural. Therefore, we will pay close attention to the issue of power - in terms of control and distribution of resources and the enforcement of gender roles and sexuality. We will also look at how Western gender ideals have been imposed on people in other parts of the world. We will talk about concepts, perceptions, images, stories, encounters, games, connections and disconnections. Finally, we will explore questions of practice and resistance. ",,INT or SOC; WCult:CI,
WGSS,36.06,Gender and Sexuality in Asian American Literature,,ENGL 53.33,"Focusing on contemporary Asian American literature, film, and popular culture, this course emphasizes a diverse range of engagements with gender and sexuality that disrupts binary thinking on the topic. Through close analysis of cultural texts, students will examine the formation of Asian American genders and sexualities alongside histories of racialization, migration, and labor. Texts may include: Monique Truong's The Book of Salt, David Henry Hwang's M Butterfly, R. Zamora Linmark's Rolling the R's, Justin Lin's Better Luck Tomorrow, as well as episodes of Battlestar Galactica and 24. We will also read critical essays by Gayatri Gopinath, David Eng, Yen Le Espiritu, Karen Tongson, Lisa Nakamura, and Martin Manalansan.",,LIT,
WGSS,37.03,Social Justice and the City,21F: Collins,GEOG 25; SOCY 49.22,"This course explores issues of social justice and cities in terms of the spatial unevenness of money and power within and among cities, between cities and their hinterlands, and between cities of the world. We will examine how multiple dynamic geographic processes produce spatial and social inequalities that make cities the locus of numerous social justice issues. We will also look at how urban communities and social groups are engaged in working for social change.",,SOC; WCult:CI,
WGSS,37.04,Carceral Geographies: Explaining Mass Incarceration in the US,,AAAS 90.09 GEOG 027,"Why are there so many people incarcerated in the United States and why are so many people in the US and beyond calling for an end to police violence, some even for the abolition of policing? Is mass incarceration an inevitable product of slavery and Jim Crow? Why did prisons expand in the United States as crime rates were going down? Was it the War on Drugs, or the long term effects of housing discrimination?",,SOC,
